tableName	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
DischargeVolumetric	EstimatedCapture_percent	Estimate of percentage of flow captured in container	numeric	percent			
DischargeVolumetric	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
DischargeVolumetric	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
Disturbance	Park	Four letter park code	character				
Disturbance	SiteCode	Unique alphanumeric site code	character				
Disturbance	SiteName	Descriptive name of the site	character				
Disturbance	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
Disturbance	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
Disturbance	Roads	Road disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	HumanUse	Human use disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	PlantManagement	Plant management disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	HikingTrails	Hiking trail disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	Livestock	Livestock disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	OtherAnthropogenic	Other anthropogenic disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	Fire	Fire disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	Flooding	Flooding disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	Wildlife	Wildlife disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	OtherNatural	Other natural disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	Overall	Overall disturbance percent class from lookup.DisturbanceClass	character				
Disturbance	Notes	Additional notes about disturbance at this location	character				
Disturbance	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
Disturbance	FlowModificationStatus	Indicates whether spring flow has been modified from its natural course	character				
Disturbance	DPL	"Note for Level of data processing applied to this data [Raw, Provisional, Accepted, Certified] Status"	character				
DisturbanceFlowModification	Park	Four letter park code	character				
DisturbanceFlowModification	SiteCode	Unique alphanumeric site code	character				
DisturbanceFlowModification	SiteName	Descriptive name of the site	character				
DisturbanceFlowModification	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
DisturbanceFlowModification	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
DisturbanceFlowModification	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
DisturbanceFlowModification	FlowModificationStatus	Indicates whether spring flow has been modified from its natural course	character				
DisturbanceFlowModification	DPL	"Note for Level of data processing applied to this data [Raw, Provisional, Accepted, Certified] Status"	character				
Invasives	Park	Four letter park code	character				
Invasives	SiteCode	Unique alphanumeric site code	character				
Invasives	SiteName	Descriptive name of the site	character				
Invasives	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
Invasives	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
Invasives	InvasivesObserved	Indicates whether invasive species were observed at a spring	character				
Invasives	InRiparianVegBuffer	Indicates whether invasive species observation falls within or outside of riparian veg buffer	character				
Invasives	USDAPlantsCode	USDA plant code assigned to taxon	character				
Invasives	ProtectedStatus	Protected status of data record	character				
Invasives	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
Invasives	Notes	Additional notes about the invasive species	character				
Riparian	Park	Four letter park code	character				
Riparian	SiteCode	Unique alphanumeric site code	character				
Riparian	SiteName	Descriptive name of the site	character				
Riparian	VisitDate	Date that the monitoring occured	Date				
Riparian	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
Riparian	IsVegetationObserved	Indicates whether riparian vegetation was observed at a spring	character				
Riparian	MistletoePresent	Indicates whether mistletoe was observed at the spring	character				
Riparian	LifeForm	"Type of riparian vegetation, split into broad and easily identifiable classes"	character				
Riparian	Rank	Integer indicating relative canopy cover of vegetation life form. 1 indicates greatest canopy cover. Ties are allowed.	character				
Riparian	DominantSpecies	Text description or name of the dominant species	character				
Riparian	USDAPlantsCode	USDA plant code assigned to taxon	character				
Riparian	ScientificName	Species scientific name	character				
Riparian	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
Riparian	ProtectedStatus	Protected status of data record	character				
Riparian	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
Riparian	Notes	Additional notes about the riparian vegetation	character				
SensorRetrievalAttempts	SensorNumber	Sensor model number	numeric	number			
SensorRetrievalAttempts	SerialNumber	Sensor serial number	character				
SensorRetrievalAttempts	DeploymentDate	Sensor deployment date	Date		YYYY-MM-DD		
SensorRetrievalAttempts	DeploymentFieldSeason	Field season during deployment. Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
SensorRetrievalAttempts	RetrievalDate	Sensor retrieval date	Date		YYYY-MM-DD		
SensorRetrievalAttempts	RetrievalFieldSeason	Field season during retrieval. Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
SensorRetrievalAttempts	SiteName	Descriptive name of the site	character				
SensorRetrievalAttempts	SiteCode	Unique alphanumeric site code	character				
SensorRetrievalAttempts	Park	Four letter park code	character				
SensorRetrievalAttempts	SensorRetrieved	Was sensor retreived (Y/N)	character				
SensorRetrievalAttempts	SensorProblem	Problem with retrieved sensor	character				
SensorRetrievalAttempts	DownloadResult	Indicates whether sensor data were downloaded successfully	character				
SensorRetrievalAttempts	RetrievalVisitType	"Purpose of sensor retrieval visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
SensorRetrievalAttempts	DeploymentVisitType	"Purpose of sensor deployment visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
SensorRetrievalAttempts	Notes	Notes on the sensor retrieval	character				
SensorsCurrentlyDeployed	SensorNumber	Sensor model number	numeric	number			
SensorsCurrentlyDeployed	SerialNumber	Sensor serial number	character				
SensorsCurrentlyDeployed	SiteCode	Unique alphanumeric site code	character				
SensorsCurrentlyDeployed	SiteName	Descriptive name of the site	character				
SensorsCurrentlyDeployed	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
SensorsCurrentlyDeployed	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
SensorsCurrentlyDeployed	Park	Four letter park code	character				
SensorsCurrentlyDeployed	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
SensorsCurrentlyDeployed	Notes	Notes on the sensor deployment	character				
Site	Park	Four letter park code	character				
Site	Subunit	Section of the park where site is located	character				
Site	SiteCode	Unique alphanumeric site code	character				
Site	SiteName	Descriptive name of the site	character				
Site	GRTSDraw	Documents the grts draw that applies to these locations.	character				
Site	GRTSOrder	Order that spring appears in the GRTS draw. Unique for a GRTS frame	numeric	number			
Site	SiteStatus	Documents the GRTS status of this plot	character				
Site	SampleFrame	"Time frame that spring is sampled (3Yr, Annual, Inactive)"	character				
Site	SiteProtectedStatus	Is the location of this site protected	character				
Site	Lat_WGS84	Latitude in WGS84 coordinate system	numeric	degree			
Site	Lon_WGS84	Longitude in WGS84 coordinate system	numeric	degree			
Site	X_UTM_NAD83_11N	UTM Zone 11N X coordinate of spring	numeric	meter			
Site	Y_UTM_NAD83_11N	UTM Zone 11N Y coordinate of spring	numeric	meter			
Visit	Park	Four letter park code	character				
Visit	SiteCode	Unique alphanumeric site code	character				
Visit	SiteName	Descriptive name of the site	character				
Visit	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
